CustomerID,CustomerName,Email,City,State,PinCode,CustomerSegment
C2001,Amit Raj,amit.raj1@example.com,Nagercoil,Tamil Nadu,627721,Occasional
C2002,Arjun Kumar,arjun.kumar2@example.com,Kanchipuram,Tamil Nadu,635432,Prime
C2003,Lakshmi Rao,lakshmi.rao3@example.com,Tiruchirappalli,Tamil Nadu,632946,Prime
C2004,Ajay Subramanian,ajay.subramanian4@example.com,Salem,Tamil Nadu,602216,Prime
C2005,Amit Subramanian,amit.subramanian5@example.com,Chennai,Tamil Nadu,630445,Regular
C2006,Suresh Balaji,suresh.balaji6@example.com,Kanchipuram,Tamil Nadu,608406,Regular
C2007,Vishal Khan,vishal.khan7@example.com,Tiruchirappalli,Tamil Nadu,633282,Regular
C2008,Vikram Raj,vikram.raj8@example.com,Erode,Tamil Nadu,601425,Prime
C2009,Sneha Patel,sneha.patel9@example.com,Dindigul,Tamil Nadu,628579,Prime
C2010,Kavya Sharma,kavya.sharma10@example.com,Tirunelveli,Tamil Nadu,613060,Regular
C2011,Karthik Natarajan,karthik.natarajan11@example.com,Nagercoil,Tamil Nadu,610404,Occasional
C2012,Neha Iyer,neha.iyer12@example.com,Kanchipuram,Tamil Nadu,607779,Occasional
C2013,Pooja Patel,pooja.patel13@example.com,Erode,Tamil Nadu,625853,Occasional
C2014,Rohit Iyer,rohit.iyer14@example.com,Dindigul,Tamil Nadu,623655,Occasional
C2015,Lakshmi Nair,lakshmi.nair15@example.com,Erode,Tamil Nadu,619977,Regular
C2016,Arjun Natarajan,arjun.natarajan16@example.com,Coimbatore,Tamil Nadu,608633,Regular
C2017,Rohit Balaji,rohit.balaji17@example.com,Erode,Tamil Nadu,628055,Prime
C2018,Neha Iyer,neha.iyer18@example.com,Ramanathapuram,Tamil Nadu,637175,Prime
C2019,Amit Reddy,amit.reddy19@example.com,Erode,Tamil Nadu,630303,Occasional
C2020,Sneha Gowda,sneha.gowda20@example.com,Ramanathapuram,Tamil Nadu,631440,Occasional
C2021,Ajay Iyer,ajay.iyer21@example.com,Thoothukudi,Tamil Nadu,603937,Regular
C2022,Suresh Raj,suresh.raj22@example.com,Chennai,Tamil Nadu,628520,Occasional
C2023,Amit Singh,amit.singh23@example.com,Tirunelveli,Tamil Nadu,639989,Regular
C2024,Sanjay Patel,sanjay.patel24@example.com,Vellore,Tamil Nadu,634423,Regular
C2025,Vikram Natarajan,vikram.natarajan25@example.com,Ramanathapuram,Tamil Nadu,624303,Occasional
C2026,Sneha Reddy,sneha.reddy26@example.com,Dindigul,Tamil Nadu,612071,Regular
C2027,Ananya Singh,ananya.singh27@example.com,Tirunelveli,Tamil Nadu,608100,Occasional
C2028,Lakshmi Balaji,lakshmi.balaji28@example.com,Ramanathapuram,Tamil Nadu,613791,Prime
C2029,Mani Rao,mani.rao29@example.com,Coimbatore,Tamil Nadu,619521,Prime
C2030,Vishal Raj,vishal.raj30@example.com,Salem,Tamil Nadu,640537,Occasional
C2031,Ananya Ilangovan,ananya.ilangovan31@example.com,Chennai,Tamil Nadu,606344,Occasional
C2032,Karthik Reddy,karthik.reddy32@example.com,Karur,Tamil Nadu,634355,Regular
C2033,Ananya Natarajan,ananya.natarajan33@example.com,Ramanathapuram,Tamil Nadu,633422,Occasional
C2034,Sanjay Reddy,sanjay.reddy34@example.com,Dindigul,Tamil Nadu,626522,Regular
C2035,Sneha Nair,sneha.nair35@example.com,Coimbatore,Tamil Nadu,613300,Regular
C2036,Amit Menon,amit.menon36@example.com,Coimbatore,Tamil Nadu,611969,Prime
C2037,Meena Balaji,meena.balaji37@example.com,Chennai,Tamil Nadu,636971,Regular
C2038,Pooja Gowda,pooja.gowda38@example.com,Kanchipuram,Tamil Nadu,620951,Occasional
C2039,Pooja Reddy,pooja.reddy39@example.com,Thoothukudi,Tamil Nadu,602925,Prime
C2040,Sneha Ilangovan,sneha.ilangovan40@example.com,Salem,Tamil Nadu,614789,Regular
C2041,Meena Ilangovan,meena.ilangovan41@example.com,Salem,Tamil Nadu,639189,Prime
C2042,Suresh Khan,suresh.khan42@example.com,Madurai,Tamil Nadu,639120,Regular
C2043,Lakshmi Rao,lakshmi.rao43@example.com,Kanchipuram,Tamil Nadu,612553,Regular
C2044,Kavya Natarajan,kavya.natarajan44@example.com,Karur,Tamil Nadu,611965,Regular
C2045,Sanjay Natarajan,sanjay.natarajan45@example.com,Tirunelveli,Tamil Nadu,625907,Regular
C2046,Suresh Reddy,suresh.reddy46@example.com,Nagercoil,Tamil Nadu,617624,Regular
C2047,Sneha Nair,sneha.nair47@example.com,Vellore,Tamil Nadu,611968,Occasional
C2048,Pooja Rao,pooja.rao48@example.com,Karur,Tamil Nadu,637299,Prime
C2049,Neha Joseph,neha.joseph49@example.com,Vellore,Tamil Nadu,617685,Occasional
